"Subject","Item","Condition","Answer","Order"
"Subject1","Item1","Overt","Object","A"
"Subject1","Item2","Null","Object","A"
"Subject1","Item3","Overt","Object","A"
"Subject1","Item4","Null","Subject","A"
"Subject1","Item5","Overt","Object","A"
"Subject1","Item6","Null","Object","A"
"Subject1","Item7","Overt","Object","A"
"Subject1","Item8","Null","Object","A"
"Subject1","Item9","Overt","Object","A"
"Subject1","Item10","Null","Object","A"
"Subject1","Item11","Overt","Object","A"
"Subject1","Item12","Null","Third person","A"
"Subject1","Item13","Overt","Object","A"
"Subject1","Item14","Null","Object","A"
"Subject1","Item15","Overt","Object","A"
"Subject1","Item16","Null","Subject","A"
"Subject1","Item17","Overt","Third person","A"
"Subject1","Item18","Null","Object","A"
"Subject1","Item19","Overt","Object","A"
"Subject1","Item20","Null","Object","A"
"Subject1","Item21","Overt","Subject","A"
"Subject1","Item22","Null","Object","A"
"Subject1","Item23","Overt","Subject","A"
"Subject1","Item24","Null","Object","A"
"Subject1","Item25","Overt","Object","A"
"Subject1","Item26","Null","Object","A"
"Subject1","Item27","Overt","Object","A"
"Subject1","Item28","Null","Subject","A"
"Subject1","Item29","Overt","Third person","A"
"Subject1","Item30","Null","Object","A"
"Subject1","Item31","Overt","Object","A"
"Subject1","Item32","Null","Subject","A"
"Subject2","Item1","Null ","Object","B"
"Subject2","Item2","Overt","Object","B"
"Subject2","Item3","Null ","Object","B"
"Subject2","Item4","Overt","Object","B"
"Subject2","Item5","Null ","Subject","B"
"Subject2","Item6","Overt","Object","B"
"Subject2","Item7","Null ","Object","B"
"Subject2","Item8","Overt","Object","B"
"Subject2","Item9","Null ","Object","B"
"Subject2","Item10","Overt","Object","B"
"Subject2","Item11","Null ","Object","B"
"Subject2","Item12","Overt","Subject","B"
"Subject2","Item13","Null ","Object","B"
"Subject2","Item14","Overt","Object","B"
"Subject2","Item15","Null ","Subject","B"
"Subject2","Item16","Overt","Subject","B"
"Subject2","Item17","Null ","Subject","B"
"Subject2","Item18","Overt","Object","B"
"Subject2","Item19","Null ","Object","B"
"Subject2","Item20","Overt","Subject","B"
"Subject2","Item21","Null ","Object","B"
"Subject2","Item22","Overt","Object","B"
"Subject2","Item23","Null ","Subject","B"
"Subject2","Item24","Overt","Object","B"
"Subject2","Item25","Null ","Object","B"
"Subject2","Item26","Overt","Object","B"
"Subject2","Item27","Null ","Subject","B"
"Subject2","Item28","Overt","Object","B"
"Subject2","Item29","Null ","Object","B"
"Subject2","Item30","Overt","Object","B"
"Subject2","Item31","Null ","Subject","B"
"Subject2","Item32","Overt","Object","B"
"Subject3","Item1","Overt","Subject","A"
"Subject3","Item2","Null","Subject","A"
"Subject3","Item3","Overt","Subject","A"
"Subject3","Item4","Null","Subject","A"
"Subject3","Item5","Overt","Subject","A"
"Subject3","Item6","Null","Subject","A"
"Subject3","Item7","Overt","Subject","A"
"Subject3","Item8","Null","Subject","A"
"Subject3","Item9","Overt","Object","A"
"Subject3","Item10","Null","Subject","A"
"Subject3","Item11","Overt","Subject","A"
"Subject3","Item12","Null","Subject","A"
"Subject3","Item13","Overt","Subject","A"
"Subject3","Item14","Null","Subject","A"
"Subject3","Item15","Overt","Subject","A"
"Subject3","Item16","Null","Subject","A"
"Subject3","Item17","Overt","Subject","A"
"Subject3","Item18","Null","Subject","A"
"Subject3","Item19","Overt","Subject","A"
"Subject3","Item20","Null","Subject","A"
"Subject3","Item21","Overt","Subject","A"
"Subject3","Item22","Null","Object","A"
"Subject3","Item23","Overt","Third person","A"
"Subject3","Item24","Null","Subject+Object","A"
"Subject3","Item25","Overt","Subject","A"
"Subject3","Item26","Null","Subject","A"
