"rating","text_type"
-9,"Type 1"
-5,"Type 1"
5,"Type 1"
7,"Type 1"
-6,"Type 1"
-6,"Type 1"
-9,"Type 1"
3,"Type 1"
7,"Type 1"
-4,"Type 1"
-6,"Type 1"
-2,"Type 1"
3,"Type 1"
2,"Type 1"
7,"Type 1"
-8,"Type 1"
-9,"Type 1"
3,"Type 1"
7,"Type 1"
-9,"Type 1"
-8,"Type 1"
8,"Type 1"
3,"Type 1"
6,"Type 1"
4,"Type 1"
-6,"Type 1"
-4,"Type 1"
2,"Type 1"
2,"Type 1"
-6,"Type 1"
-4,"Type 1"
-8,"Type 1"
-9,"Type 1"
-2,"Type 1"
-2,"Type 1"
-6,"Type 1"
3,"Type 1"
2,"Type 1"
2,"Type 1"
-10,"Type 1"
-4,"Type 1"
-1,"Type 1"
-1,"Type 1"
0,"Type 1"
1,"Type 1"
-4,"Type 1"
3,"Type 1"
-1,"Type 1"
-5,"Type 1"
-6,"Type 1"
6,"Type 1"
-7,"Type 1"
7,"Type 1"
-2,"Type 1"
-9,"Type 1"
8,"Type 1"
-5,"Type 1"
-4,"Type 1"
-4,"Type 1"
4,"Type 1"
-3,"Type 2"
6,"Type 2"
-7,"Type 2"
6,"Type 2"
4,"Type 2"
9,"Type 2"
-3,"Type 2"
-9,"Type 2"
-2,"Type 2"
6,"Type 2"
5,"Type 2"
4,"Type 2"
-3,"Type 2"
1,"Type 2"
5,"Type 2"
-2,"Type 2"
-3,"Type 2"
-2,"Type 2"
10,"Type 2"
2,"Type 2"
-9,"Type 2"
-9,"Type 2"
8,"Type 2"
8,"Type 2"
7,"Type 2"
8,"Type 2"
-6,"Type 2"
-2,"Type 2"
-4,"Type 2"
4,"Type 2"
8,"Type 2"
0,"Type 2"
2,"Type 2"
-2,"Type 2"
-8,"Type 2"
4,"Type 2"
-2,"Type 2"
-4,"Type 2"
2,"Type 2"
5,"Type 2"
3,"Type 2"
5,"Type 2"
-1,"Type 2"
-1,"Type 2"
5,"Type 2"
1,"Type 2"
-7,"Type 2"
-1,"Type 2"
7,"Type 2"
5,"Type 2"
-2,"Type 2"
2,"Type 2"
2,"Type 2"
3,"Type 2"
3,"Type 2"
-2,"Type 2"
6,"Type 2"
8,"Type 2"
7,"Type 2"
9,"Type 2"
5,"Type 2"
8,"Type 2"
8,"Type 2"
7,"Type 2"
8,"Type 2"
-4,"Type 2"
